DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMP
10,2,2020,13,9,34,41.50
10,2,2020,13,9,35,41.09
10,2,2020,13,9,36,40.47
10,2,2020,13,9,37,41.40
10,2,2020,13,9,38,40.17
10,2,2020,13,9,39,40.38
10,2,2020,13,9,40,40.38
10,2,2020,13,9,41,41.06
10,2,2020,13,9,42,40.38
10,2,2020,13,9,43,38.89
10,2,2020,13,9,44,40.84
10,2,2020,13,9,45,38.89
10,2,2020,13,9,46,41.59
10,2,2020,13,9,47,40.38
10,2,2020,13,9,48,41.34
10,2,2020,13,9,49,41.18
10,2,2020,13,9,50,40.90
10,2,2020,13,9,51,41.34
10,2,2020,13,9,52,39.86
10,2,2020,13,9,53,38.89
10,2,2020,13,9,54,38.89
10,2,2020,13,9,55,41.06
10,2,2020,13,9,56,40.84
10,2,2020,13,9,57,40.97
10,2,2020,13,9,58,40.47
10,2,2020,13,9,59,38.89
10,2,2020,13,10,0,41.09
10,2,2020,13,10,1,41.09
10,2,2020,13,10,2,41.56
10,2,2020,13,10,3,38.89
10,2,2020,13,10,4,40.53
10,2,2020,13,10,5,41.28
10,2,2020,13,10,6,39.92
10,2,2020,13,10,7,41.97
10,2,2020,13,10,8,40.35
10,2,2020,13,10,9,42.44
10,2,2020,13,10,10,40.47
10,2,2020,13,10,11,40.84
10,2,2020,13,10,12,41.59
10,2,2020,13,10,13,40.44
10,2,2020,13,10,14,40.56
10,2,2020,13,10,15,42.09
10,2,2020,13,10,16,41.09
10,2,2020,13,10,17,41.97
10,2,2020,13,10,18,41.21
10,2,2020,13,10,19,40.60
10,2,2020,13,10,20,41.50
10,2,2020,13,10,21,38.89
10,2,2020,13,10,22,40.84
10,2,2020,13,10,23,40.97
10,2,2020,13,10,48,40.66
10,2,2020,13,10,49,40.84
10,2,2020,13,10,50,40.38
10,2,2020,13,10,51,40.90
10,2,2020,13,10,52,40.60
10,2,2020,13,10,53,42.09
10,2,2020,13,10,54,41.37
10,2,2020,13,10,55,40.41
10,2,2020,13,10,56,41.03
10,2,2020,13,10,57,41.15
10,2,2020,13,10,58,40.72
10,2,2020,13,10,59,41.28
10,2,2020,13,11,0,41.90
10,2,2020,13,11,1,43.08
10,2,2020,13,11,2,41.71
10,2,2020,13,11,3,42.28
10,2,2020,13,11,4,40.60
10,2,2020,13,11,5,42.86
10,2,2020,13,11,6,41.34
10,2,2020,13,11,7,42.41
10,2,2020,13,11,8,41.25
10,2,2020,13,11,9,40.84
10,2,2020,13,11,10,41.59
10,2,2020,13,11,11,41.84
10,2,2020,13,11,12,41.15
10,2,2020,13,11,13,41.00
10,2,2020,13,11,14,40.84
10,2,2020,13,11,15,41.34
10,2,2020,13,11,16,41.46
10,2,2020,13,11,17,41.28
10,2,2020,13,11,18,42.09
10,2,2020,13,11,19,41.09
10,2,2020,13,11,20,40.47
10,2,2020,13,11,21,41.53
10,2,2020,13,11,22,42.47
10,2,2020,13,11,23,42.86
10,2,2020,13,11,24,40.41
10,2,2020,13,11,25,41.34
10,2,2020,13,11,26,42.03
10,2,2020,13,11,27,41.97
10,2,2020,13,11,28,40.04
10,2,2020,13,11,29,39.74
10,2,2020,13,11,30,42.28
10,2,2020,13,11,31,41.71
10,2,2020,13,11,32,41.46
10,2,2020,13,11,33,41.53
10,2,2020,13,11,34,40.60
10,2,2020,13,11,35,41.53
10,2,2020,13,11,36,41.40
10,2,2020,13,11,37,41.59
10,2,2020,13,11,38,41.59
10,2,2020,13,11,39,42.35
10,2,2020,13,11,40,41.81
10,2,2020,13,11,41,40.60
10,2,2020,13,11,42,39.86
10,2,2020,13,11,43,42.38
10,2,2020,13,11,44,41.21
10,2,2020,13,11,45,41.37
10,2,2020,13,11,46,42.86
10,2,2020,13,11,47,40.41
10,2,2020,13,11,48,40.78
10,2,2020,13,11,49,41.84
10,2,2020,13,11,50,41.84
10,2,2020,13,11,51,42.44
10,2,2020,13,11,52,40.72
10,2,2020,13,11,53,40.72
10,2,2020,13,11,54,40.84
10,2,2020,13,11,55,40.41
10,2,2020,13,11,56,40.47
10,2,2020,13,11,57,40.81
10,2,2020,13,11,58,41.34
10,2,2020,13,11,59,42.06
10,2,2020,13,12,0,40.35
10,2,2020,13,12,1,40.41
10,2,2020,13,12,2,41.21
10,2,2020,13,12,3,41.46
10,2,2020,13,12,4,41.84
10,2,2020,13,12,5,40.41
10,2,2020,13,12,6,40.84
10,2,2020,13,12,7,40.97
10,2,2020,13,12,8,43.11
10,2,2020,13,12,9,41.28
10,2,2020,13,12,10,41.37
10,2,2020,13,12,11,40.23
10,2,2020,13,12,12,40.04
10,2,2020,13,12,13,43.37
10,2,2020,13,12,14,42.38
10,2,2020,13,12,15,39.86
10,2,2020,13,12,16,41.59
10,2,2020,13,12,17,40.29
10,2,2020,13,12,18,41.34
10,2,2020,13,12,19,42.28
10,2,2020,13,12,20,42.41
10,2,2020,13,12,21,40.90
10,2,2020,13,12,22,42.38
10,2,2020,13,12,23,41.09
10,2,2020,13,12,24,41.34
10,2,2020,13,12,25,40.66
10,2,2020,13,12,26,41.78
10,2,2020,13,12,27,40.72
10,2,2020,13,12,28,40.90
10,2,2020,13,12,29,42.60
10,2,2020,13,12,30,41.78
10,2,2020,13,12,31,41.34
10,2,2020,13,12,32,41.09
10,2,2020,13,12,33,41.21
10,2,2020,13,12,34,42.38
10,2,2020,13,12,35,40.78
10,2,2020,13,12,36,41.34
10,2,2020,13,12,37,42.73
10,2,2020,13,12,38,43.37
10,2,2020,13,12,39,41.59
10,2,2020,13,12,40,43.11
10,2,2020,13,12,41,42.47
10,2,2020,13,12,42,41.06
10,2,2020,13,12,43,43.43
10,2,2020,13,12,44,41.68
10,2,2020,13,12,45,41.34
10,2,2020,13,12,46,42.38
10,2,2020,13,12,47,41.59
10,2,2020,13,12,48,42.35
10,2,2020,13,12,49,42.86
10,2,2020,13,12,50,42.35
10,2,2020,13,12,51,40.84
10,2,2020,13,12,52,41.40
10,2,2020,13,12,53,41.21
10,2,2020,13,12,54,41.97
10,2,2020,13,12,55,43.40
10,2,2020,13,12,56,41.71
10,2,2020,13,12,57,41.28
10,2,2020,13,12,58,42.35
10,2,2020,13,12,59,41.71
10,2,2020,13,13,0,42.47
10,2,2020,13,13,1,42.76
10,2,2020,13,13,2,42.03
10,2,2020,13,13,3,41.03
10,2,2020,13,13,4,41.46
10,2,2020,13,13,5,42.06
10,2,2020,13,13,6,41.46
10,2,2020,13,13,7,43.56
10,2,2020,13,13,8,42.60
10,2,2020,13,13,9,43.11
10,2,2020,13,13,10,41.59
10,2,2020,13,13,11,42.22
10,2,2020,13,13,12,43.11
10,2,2020,13,13,13,41.28
10,2,2020,13,13,14,41.84
10,2,2020,13,13,15,43.37
10,2,2020,13,13,16,41.28
10,2,2020,13,13,17,41.46
10,2,2020,13,13,18,42.31
10,2,2020,13,13,19,42.60
10,2,2020,13,13,20,42.50
10,2,2020,13,13,21,41.59
10,2,2020,13,13,22,41.84
10,2,2020,13,13,23,43.11
10,2,2020,13,13,24,43.18
10,2,2020,13,13,25,43.89
10,2,2020,13,13,26,42.57
10,2,2020,13,13,27,41.09
10,2,2020,13,13,28,42.86
10,2,2020,13,13,29,41.15
10,2,2020,13,13,30,41.78
10,2,2020,13,13,31,43.37
10,2,2020,13,13,32,43.40
10,2,2020,13,13,33,42.95
10,2,2020,13,13,34,44.84
10,2,2020,13,13,35,42.86
10,2,2020,13,13,36,42.35
10,2,2020,13,13,37,44.41
10,2,2020,13,13,38,44.08
10,2,2020,13,13,39,42.06
10,2,2020,13,13,40,42.41
10,2,2020,13,13,41,42.41
10,2,2020,13,13,42,42.98
10,2,2020,13,13,43,41.97
10,2,2020,13,13,44,42.86
10,2,2020,13,13,45,41.78
10,2,2020,13,13,46,41.53
10,2,2020,13,13,47,41.71
10,2,2020,13,13,48,42.57
10,2,2020,13,13,49,44.02
10,2,2020,13,13,50,42.86
10,2,2020,13,13,51,43.53
10,2,2020,13,13,52,42.22
10,2,2020,13,13,53,41.59
10,2,2020,13,13,54,42.38
10,2,2020,13,13,55,41.84
10,2,2020,13,13,56,43.11
10,2,2020,13,13,57,43.89
10,2,2020,13,13,58,42.47
10,2,2020,13,13,59,41.34
10,2,2020,13,14,0,41.84
10,2,2020,13,14,1,43.89
10,2,2020,13,14,2,41.84
10,2,2020,13,14,3,42.54
10,2,2020,13,14,4,43.60
10,2,2020,13,14,5,42.98
10,2,2020,13,14,6,42.09
10,2,2020,13,14,7,42.86
10,2,2020,13,14,8,43.08
10,2,2020,13,14,9,41.59
10,2,2020,13,14,10,43.11
10,2,2020,13,14,11,41.84
10,2,2020,13,14,12,42.41
10,2,2020,13,14,13,43.18
10,2,2020,13,14,14,42.38
10,2,2020,13,14,15,41.59
10,2,2020,13,14,16,43.40
10,2,2020,13,14,17,42.35
10,2,2020,13,14,18,43.40
10,2,2020,13,14,19,42.98
10,2,2020,13,14,20,42.41
10,2,2020,13,14,21,42.41
10,2,2020,13,14,22,42.92
10,2,2020,13,14,23,44.64
10,2,2020,13,14,24,43.50
10,2,2020,13,14,25,43.69
10,2,2020,13,14,26,43.60
10,2,2020,13,14,27,42.47
10,2,2020,13,14,28,44.51
10,2,2020,13,14,29,41.40
10,2,2020,13,14,30,43.50
10,2,2020,13,14,31,44.48
10,2,2020,13,14,32,42.35
10,2,2020,13,14,33,43.50
10,2,2020,13,14,34,43.34
10,2,2020,13,14,35,43.60
10,2,2020,13,14,36,43.37
10,2,2020,13,14,37,43.11
10,2,2020,13,14,38,44.54
10,2,2020,13,14,39,43.24
10,2,2020,13,14,40,42.60
10,2,2020,13,14,41,43.99
10,2,2020,13,14,42,43.24
10,2,2020,13,14,43,42.22
10,2,2020,13,14,44,43.40
10,2,2020,13,14,45,43.63
10,2,2020,13,14,46,42.60
10,2,2020,13,14,47,42.82
10,2,2020,13,14,48,44.28
10,2,2020,13,14,49,42.92
10,2,2020,13,14,50,42.09
10,2,2020,13,14,51,44.94
10,2,2020,13,14,52,44.41
10,2,2020,13,14,53,42.98
10,2,2020,13,14,54,44.94
10,2,2020,13,14,55,44.02
10,2,2020,13,14,56,43.50
10,2,2020,13,14,57,42.09
10,2,2020,13,14,58,42.16
10,2,2020,13,14,59,43.43
10,2,2020,13,15,0,44.67
10,2,2020,13,15,1,44.81
10,2,2020,13,15,2,41.84
10,2,2020,13,15,3,44.48
10,2,2020,13,15,4,43.76
10,2,2020,13,15,5,42.28
10,2,2020,13,15,6,44.58
10,2,2020,13,15,7,42.73
10,2,2020,13,15,8,42.35
10,2,2020,13,15,9,43.76
10,2,2020,13,15,10,44.28
10,2,2020,13,15,11,43.21
10,2,2020,13,15,12,41.37
10,2,2020,13,15,13,43.53
10,2,2020,13,15,14,43.30
10,2,2020,13,15,15,43.11
10,2,2020,13,15,16,42.86
10,2,2020,13,15,17,42.16
10,2,2020,13,15,18,42.16
10,2,2020,13,15,19,43.76
10,2,2020,13,15,20,43.18
10,2,2020,13,15,21,42.54
10,2,2020,13,15,22,42.28
10,2,2020,13,15,23,43.89
10,2,2020,13,15,24,41.46
10,2,2020,13,15,25,43.34
10,2,2020,13,15,26,41.37
10,2,2020,13,15,27,42.35
10,2,2020,13,15,28,43.63
10,2,2020,13,15,29,43.89
10,2,2020,13,15,30,42.98
10,2,2020,13,15,31,42.35
10,2,2020,13,15,32,40.97
10,2,2020,13,15,33,41.21
10,2,2020,13,15,34,42.47
10,2,2020,13,15,35,42.86
10,2,2020,13,15,36,42.22
10,2,2020,13,15,37,42.86
10,2,2020,13,15,38,42.22
10,2,2020,13,15,39,42.35
10,2,2020,13,15,40,43.79
10,2,2020,13,15,41,42.73
10,2,2020,13,15,42,43.18
10,2,2020,13,15,43,43.27
10,2,2020,13,15,44,42.44
10,2,2020,13,15,45,43.89
10,2,2020,13,15,46,42.73
10,2,2020,13,15,47,42.79
10,2,2020,13,15,48,42.35
10,2,2020,13,15,49,42.98
10,2,2020,13,15,50,41.71
10,2,2020,13,15,51,44.15
10,2,2020,13,15,52,42.79
10,2,2020,13,15,53,43.63
10,2,2020,13,15,54,43.89
10,2,2020,13,15,55,42.98
10,2,2020,13,15,56,43.18
10,2,2020,13,15,57,42.82
10,2,2020,13,15,58,43.40
10,2,2020,13,15,59,43.30
10,2,2020,13,16,0,43.40
10,2,2020,13,16,1,43.24
10,2,2020,13,16,2,44.02
10,2,2020,13,16,3,42.60
10,2,2020,13,16,4,42.47
10,2,2020,13,16,5,41.59
10,2,2020,13,16,6,43.08
10,2,2020,13,16,7,43.18
10,2,2020,13,16,8,41.46
10,2,2020,13,16,9,42.35
10,2,2020,13,16,10,42.79
10,2,2020,13,16,11,43.11
10,2,2020,13,16,12,43.89
10,2,2020,13,16,13,41.40
10,2,2020,13,16,14,43.56
10,2,2020,13,16,15,42.54
10,2,2020,13,16,16,42.19
10,2,2020,13,16,17,42.41
10,2,2020,13,16,18,42.38
10,2,2020,13,16,19,43.24
10,2,2020,13,16,20,42.76
10,2,2020,13,16,21,42.73
10,2,2020,13,16,22,42.35
10,2,2020,13,16,23,43.24
10,2,2020,13,16,24,41.09
10,2,2020,13,16,25,42.98
10,2,2020,13,16,26,43.11
10,2,2020,13,16,27,42.60
10,2,2020,13,16,28,42.22
10,2,2020,13,16,29,41.34
10,2,2020,13,16,30,41.53
10,2,2020,13,16,31,42.09
10,2,2020,13,16,32,42.19
10,2,2020,13,16,33,42.35
10,2,2020,13,16,34,40.53
10,2,2020,13,16,35,41.40
10,2,2020,13,16,36,41.59
10,2,2020,13,16,37,41.09
10,2,2020,13,16,38,41.46
10,2,2020,13,16,39,43.08
10,2,2020,13,16,40,42.50
10,2,2020,13,16,41,41.97
10,2,2020,13,16,42,41.65
10,2,2020,13,16,43,41.78
