DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMP
12,2,2020,0,0,0,16.38
12,2,2020,0,0,1,18.08
12,2,2020,0,0,2,16.88
12,2,2020,0,0,3,17.95
12,2,2020,0,0,4,18.10
12,2,2020,0,0,5,18.00
12,2,2020,0,0,6,17.60
12,2,2020,0,0,7,18.40
12,2,2020,0,0,8,16.93
12,2,2020,0,0,9,18.53
12,2,2020,0,0,10,17.43
12,2,2020,0,0,11,18.43
12,2,2020,0,0,12,16.58
12,2,2020,0,0,13,18.00
12,2,2020,0,0,14,17.58
12,2,2020,0,0,15,17.78
12,2,2020,0,0,16,18.80
12,2,2020,0,0,17,16.83
12,2,2020,0,0,18,18.45
12,2,2020,0,0,19,17.35
12,2,2020,0,0,20,16.98
12,2,2020,0,0,21,17.38
12,2,2020,0,0,22,16.86
12,2,2020,0,0,23,19.05
12,2,2020,0,0,24,18.10
12,2,2020,0,0,25,19.03
12,2,2020,0,0,26,18.70
12,2,2020,0,0,27,17.88
12,2,2020,0,0,28,18.25
12,2,2020,0,0,29,17.63
12,2,2020,0,0,30,17.33
12,2,2020,0,0,31,16.81
12,2,2020,0,0,32,18.03
12,2,2020,0,0,33,20.10
12,2,2020,0,0,34,18.45
12,2,2020,0,0,35,16.41
12,2,2020,0,0,36,16.63
12,2,2020,0,0,37,18.28
12,2,2020,0,0,38,18.45
12,2,2020,0,0,39,18.65
12,2,2020,0,0,40,18.45
12,2,2020,0,0,41,18.15
12,2,2020,0,0,42,17.88
12,2,2020,0,0,43,17.38
12,2,2020,0,0,44,18.58
12,2,2020,0,0,45,17.08
12,2,2020,0,0,46,17.98
12,2,2020,0,0,47,17.78
12,2,2020,0,0,48,17.58
12,2,2020,0,0,49,17.43
12,2,2020,0,0,50,18.05
12,2,2020,0,0,51,17.08
12,2,2020,0,0,52,17.90
12,2,2020,0,0,53,18.35
12,2,2020,0,0,54,18.48
12,2,2020,0,0,55,18.00
12,2,2020,0,0,56,17.40
12,2,2020,0,0,57,17.58
12,2,2020,0,0,58,18.45
12,2,2020,0,0,59,18.00
12,2,2020,0,1,0,16.53
12,2,2020,0,1,1,17.28
12,2,2020,0,1,2,17.75
12,2,2020,0,1,3,17.73
12,2,2020,0,1,4,18.15
12,2,2020,0,1,5,18.73
12,2,2020,0,1,6,18.90
12,2,2020,0,1,7,18.55
12,2,2020,0,1,8,17.35
12,2,2020,0,1,9,16.98
12,2,2020,0,1,10,18.08
12,2,2020,0,1,11,16.53
12,2,2020,0,1,12,16.46
12,2,2020,0,1,13,19.30
12,2,2020,0,1,14,18.00
12,2,2020,0,1,15,17.20
12,2,2020,0,1,16,18.35
12,2,2020,0,1,17,17.98
12,2,2020,0,1,18,17.03
12,2,2020,0,1,19,17.48
12,2,2020,0,1,20,18.80
12,2,2020,0,1,21,18.80
12,2,2020,0,1,22,18.43
12,2,2020,0,1,23,18.30
12,2,2020,0,1,24,18.78
12,2,2020,0,1,25,17.23
12,2,2020,0,1,26,17.30
12,2,2020,0,1,27,16.88
12,2,2020,0,1,28,18.30
12,2,2020,0,1,29,16.41
12,2,2020,0,1,30,18.40
12,2,2020,0,1,31,16.41
12,2,2020,0,1,32,18.25
12,2,2020,0,1,33,17.65
12,2,2020,0,1,34,16.81
12,2,2020,0,1,35,19.18
12,2,2020,0,1,36,16.46
12,2,2020,0,1,37,18.38
12,2,2020,0,1,38,18.00
12,2,2020,0,1,39,17.15
12,2,2020,0,1,40,18.43
