DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMPERATURA,PRESSAO,UMIDADE,IRRADIANCIA,VELOCIDADE,DIRECAO,CHUVA,PVTEMP(K),TENSAO,CORRENTE,PVTEMP(c)
10,2,2020,13,8,13,33.28,1005.44,65.6,847.81805,13.3,90,0,285.1,455.8875,2.69269,11.95
10,2,2020,13,8,14,33.29,1005.41,65.61,892.65902,26.6,90,0,285.26,455.7375,2.74106,12.11
10,2,2020,13,8,15,33.29,1005.44,65.6,923.16938,13.3,90,0,285.45,455.925,2.76862,12.3
10,2,2020,13,8,16,33.29,1005.45,65.67,953.67973,13.3,90,0,284.84,456.5625,2.78831,11.69
10,2,2020,13,8,17,33.29,1005.46,65.69,963.38757,0,90,0,285.83,456.675,2.78775,12.68
10,2,2020,13,8,18,33.29,1005.48,65.63,960.15163,13.3,135,0,284.96,456.7875,2.78719,11.81
10,2,2020,13,8,19,33.28,1005.46,65.66,962.9253,13.3,135,0.25,285.22,456.4125,2.79506,12.0700000000001
10,2,2020,13,8,20,33.29,1005.48,65.66,957.84024,19.95,135,0.5,285.03,456.3375,2.79056,11.88
10,2,2020,13,8,21,33.29,1005.48,65.77,955.52885,0,135,0.5,286,456.7125,2.78044,12.85
10,2,2020,13,8,22,33.29,1005.49,65.73,955.06657,13.3,135,0.5,284.96,456.3,2.77594,11.81
10,2,2020,13,8,23,33.29,1005.48,65.77,934.72633,13.3,135,0.5,284.87,456.075,2.75344,11.72
10,2,2020,13,8,24,33.29,1005.48,65.72,933.3395,0,135,0.5,285.92,455.85,2.74669,12.77
10,2,2020,13,8,25,33.29,1005.47,65.83,953.21746,13.3,135,0.5,284.42,455.8875,2.77706,11.27
10,2,2020,13,8,26,33.29,1005.47,65.93,961.53846,0,135,0.5,285.36,456.15,2.77875,12.21
10,2,2020,13,8,27,33.3,1005.51,66.02,938.88683,13.3,135,0.5,285.1,455.8875,2.75569,11.95
10,2,2020,13,8,28,33.29,1005.43,66.12,911.15015,13.3,180,0.75,285.83,455.7375,2.7405,12.68
10,2,2020,13,8,29,33.29,1005.46,66.09,919.93343,13.3,180,0.75,284.37,455.7,2.73487,11.22
10,2,2020,13,8,30,33.29,1005.46,66.07,928.25444,0,180,1.25,285.38,455.7375,2.75288,12.23
10,2,2020,13,8,31,33.29,1005.48,66.09,938.42456,13.3,180,1.5,284.84,456.0375,2.7585,11.69
10,2,2020,13,8,32,33.29,1005.45,66.01,937.03772,13.3,180,2.25,285.83,456.075,2.76188,12.68
10,2,2020,13,8,33,33.29,1005.48,66.08,937.96228,13.3,135,2.5,284.61,455.625,2.76188,11.46
10,2,2020,13,8,34,33.29,1005.47,66.1,937.03772,0,135,2.75,284.51,456.4875,2.75963,11.36
10,2,2020,13,8,35,33.29,1005.47,66.19,942.58506,13.3,135,4.5,284.84,455.8125,2.76188,11.69
10,2,2020,13,8,36,33.29,1005.45,66.24,944.43417,0,90,4.5,285.24,456.225,2.76019,12.09
10,2,2020,13,8,37,33.29,1005.45,66.34,943.97189,13.3,45,4.5,285.26,456.1875,2.763,12.11
10,2,2020,13,8,38,33.29,1005.46,66.34,942.58506,13.3,45,4.75,286.4,455.775,2.77369,13.25
10,2,2020,13,8,39,33.3,1005.45,66.39,935.18861,0,135,4.75,285.22,456.225,2.77425,12.0700000000001
10,2,2020,13,8,40,33.29,1005.47,66.54,944.89645,13.3,135,4.75,285.36,455.9625,2.77762,12.21
10,2,2020,13,8,41,33.29,1005.45,66.57,950.44379,13.3,135,4.75,285.45,455.8125,2.78831,12.3
10,2,2020,13,8,42,33.29,1005.43,66.67,949.05695,13.3,135,4.75,284.35,456.1875,2.77762,11.2
10,2,2020,13,8,43,33.3,1005.44,66.73,950.90607,0,180,4.75,284.33,456.225,2.77088,11.18
10,2,2020,13,8,44,33.3,1005.44,66.82,951.36834,13.3,225,4.75,286.02,455.9625,2.77031,12.87
