DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMP1,TEMP2
7,2,2020,0,0,0,18.43,20.45
7,2,2020,0,0,1,17.28,20.13
7,2,2020,0,0,2,19.65,20.98
7,2,2020,0,0,3,17.73,21.51
7,2,2020,0,0,4,18.63,20.65
7,2,2020,0,0,5,17.38,21.74
7,2,2020,0,0,6,17.78,20.73
7,2,2020,0,0,7,18.35,20.80
7,2,2020,0,0,8,18.23,21.58
7,2,2020,0,0,9,18.05,20.58
7,2,2020,0,0,10,18.75,18.83
7,2,2020,0,0,11,17.70,20.55
7,2,2020,0,0,12,16.88,20.90
7,2,2020,0,0,13,17.35,19.60
7,2,2020,0,0,14,17.88,19.68
7,2,2020,0,0,15,17.83,19.63
7,2,2020,0,0,16,18.80,19.68
7,2,2020,0,0,17,17.75,19.23
7,2,2020,0,0,18,18.03,19.90
7,2,2020,0,0,19,17.98,18.88
7,2,2020,0,0,20,18.13,18.98
7,2,2020,0,0,21,18.83,19.28
7,2,2020,0,0,22,17.20,20.00
7,2,2020,0,0,23,17.20,20.48
7,2,2020,0,0,24,17.20,21.41
7,2,2020,0,0,25,16.98,21.26
7,2,2020,0,0,26,16.88,20.75
7,2,2020,0,0,27,18.53,21.26
7,2,2020,0,0,28,17.25,19.28
7,2,2020,0,0,29,18.38,19.38
7,2,2020,0,0,30,17.65,20.40
7,2,2020,0,0,31,17.35,19.25
7,2,2020,0,0,32,18.38,20.40
7,2,2020,0,0,33,16.81,19.35
7,2,2020,0,0,34,18.00,18.88
7,2,2020,0,0,35,17.45,20.85
7,2,2020,0,0,36,16.58,18.83
7,2,2020,0,0,37,18.23,19.35
7,2,2020,0,0,38,17.73,20.65
7,2,2020,0,0,39,18.33,21.16
7,2,2020,0,0,40,17.68,20.15
7,2,2020,0,0,41,17.23,19.58
7,2,2020,0,0,42,16.81,18.98
7,2,2020,0,0,43,17.68,20.30
7,2,2020,0,0,44,16.68,21.11
7,2,2020,0,0,45,17.15,19.45
7,2,2020,0,0,46,17.18,19.55
7,2,2020,0,0,47,16.83,19.53
7,2,2020,0,0,48,16.66,19.55
7,2,2020,0,0,49,17.55,20.33
7,2,2020,0,0,50,18.15,20.88
7,2,2020,0,0,51,17.83,19.45
7,2,2020,0,0,52,18.45,19.60
7,2,2020,0,0,53,17.38,19.88
7,2,2020,0,0,54,18.40,20.28
7,2,2020,0,0,55,18.55,21.18
7,2,2020,0,0,56,18.85,20.68
7,2,2020,0,0,57,18.83,21.43
7,2,2020,0,0,58,18.13,19.63
7,2,2020,0,0,59,17.35,20.20
7,2,2020,0,1,0,17.78,18.95
7,2,2020,0,1,1,18.15,19.78
7,2,2020,0,1,2,18.28,20.83
7,2,2020,0,1,3,18.40,21.21
7,2,2020,0,1,4,17.75,20.18
7,2,2020,0,1,5,18.23,20.35
7,2,2020,0,1,6,19.05,19.25
7,2,2020,0,1,7,18.80,19.85
7,2,2020,0,1,8,16.46,19.13
7,2,2020,0,1,9,16.98,21.11
7,2,2020,0,1,10,17.48,19.43
7,2,2020,0,1,11,17.38,20.43
7,2,2020,0,1,12,16.88,20.55
7,2,2020,0,1,13,18.13,18.28
7,2,2020,0,1,14,18.00,20.40
7,2,2020,0,1,15,17.95,20.85
7,2,2020,0,1,16,18.15,20.93
7,2,2020,0,1,17,17.48,21.16
7,2,2020,0,1,18,18.05,20.05
7,2,2020,0,1,19,17.88,20.58
7,2,2020,0,1,20,17.28,19.33
7,2,2020,0,1,21,17.98,19.23
