DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMP1,TEMP2
11,2,2020,0,2,11,19.03,21.76
11,2,2020,0,2,12,17.23,23.20
11,2,2020,0,2,13,19.25,21.63
11,2,2020,0,2,14,18.03,21.94
11,2,2020,0,2,15,18.43,20.43
11,2,2020,0,2,16,19.60,20.35
11,2,2020,0,2,17,19.28,20.23
11,2,2020,0,2,18,17.63,22.04
11,2,2020,0,2,19,19.18,21.36
11,2,2020,0,2,20,18.33,20.78
11,2,2020,0,2,21,17.98,20.73
11,2,2020,0,2,22,19.60,21.06
11,2,2020,0,2,23,20.08,20.13
11,2,2020,0,2,24,18.58,20.80
11,2,2020,0,2,25,17.60,20.55
11,2,2020,0,2,26,18.30,21.99
11,2,2020,0,2,27,20.30,22.59
11,2,2020,0,2,28,18.28,20.35
11,2,2020,0,2,29,18.18,22.19
11,2,2020,0,2,30,18.70,20.83
11,2,2020,0,2,31,19.75,20.78
11,2,2020,0,2,32,18.28,20.18
11,2,2020,0,2,33,18.88,21.66
11,2,2020,0,2,34,18.03,21.13
11,2,2020,0,2,35,18.33,20.00
11,2,2020,0,2,36,17.68,20.80
11,2,2020,0,2,37,19.90,21.43
11,2,2020,0,2,38,18.80,20.95
11,2,2020,0,2,39,18.40,20.18
11,2,2020,0,2,40,18.80,20.33
11,2,2020,0,2,41,18.13,21.21
11,2,2020,0,2,42,19.28,21.21
11,2,2020,0,2,43,19.25,20.40
11,2,2020,0,2,44,18.70,20.43
11,2,2020,0,2,45,19.95,22.82
11,2,2020,0,2,46,17.45,20.38
11,2,2020,0,2,47,20.00,21.96
11,2,2020,0,2,48,19.60,21.91
11,2,2020,0,2,49,18.23,20.88
11,2,2020,0,2,50,19.35,22.39
11,2,2020,0,2,51,18.53,21.21
11,2,2020,0,2,52,18.38,21.26
11,2,2020,0,2,53,18.30,21.28
11,2,2020,0,2,54,19.18,20.18
11,2,2020,0,2,55,18.83,21.11
11,2,2020,0,2,56,18.13,21.79
11,2,2020,0,2,57,18.48,21.61
11,2,2020,0,2,58,18.05,20.38
11,2,2020,0,2,59,18.18,21.56
11,2,2020,0,3,0,19.35,22.39
11,2,2020,0,3,1,18.83,20.40
11,2,2020,0,3,2,19.08,20.68
11,2,2020,0,3,3,18.55,20.48
11,2,2020,0,3,4,17.68,20.28
11,2,2020,0,3,5,17.63,20.75
11,2,2020,0,3,6,18.93,20.43
11,2,2020,0,3,7,17.03,21.58
11,2,2020,0,3,8,18.28,20.80
11,2,2020,0,3,9,20.10,21.66
11,2,2020,0,3,10,18.55,21.86
11,2,2020,0,3,11,18.40,21.31
11,2,2020,0,3,12,18.08,21.21
11,2,2020,0,3,13,18.33,20.83
11,2,2020,0,3,14,17.58,19.73
11,2,2020,0,3,15,17.48,20.40
11,2,2020,0,3,16,19.80,21.76
11,2,2020,0,3,17,18.68,21.18
11,2,2020,0,3,18,18.55,20.68
11,2,2020,0,3,19,19.90,22.14
11,2,2020,0,3,20,18.90,20.33
11,2,2020,0,3,21,17.85,20.05
11,2,2020,0,3,22,18.48,21.36
11,2,2020,0,3,23,18.28,20.43
11,2,2020,0,3,24,19.35,22.01
11,2,2020,0,3,25,19.43,20.63
11,2,2020,0,3,26,18.83,20.38
11,2,2020,0,3,27,19.78,20.43
11,2,2020,0,3,28,17.45,21.74
11,2,2020,0,3,29,19.63,19.83
11,2,2020,0,3,30,19.58,21.21
11,2,2020,0,3,31,18.63,20.28
11,2,2020,0,3,32,18.93,21.63
