DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMP
10,2,2020,13,9,34,38.89
10,2,2020,13,9,35,40.44
10,2,2020,13,9,36,41.78
10,2,2020,13,9,37,40.23
10,2,2020,13,9,38,40.72
10,2,2020,13,9,39,41.68
10,2,2020,13,9,40,38.89
10,2,2020,13,9,41,40.66
10,2,2020,13,9,42,40.47
10,2,2020,13,9,43,41.71
10,2,2020,13,9,44,40.60
10,2,2020,13,9,45,40.94
10,2,2020,13,9,46,39.62
10,2,2020,13,9,47,39.86
10,2,2020,13,9,48,40.38
10,2,2020,13,9,49,39.74
10,2,2020,13,9,50,40.84
10,2,2020,13,9,51,39.80
10,2,2020,13,9,52,40.84
10,2,2020,13,9,53,41.84
10,2,2020,13,9,54,38.89
10,2,2020,13,9,55,40.60
10,2,2020,13,9,56,38.89
10,2,2020,13,9,57,39.74
10,2,2020,13,9,58,41.65
10,2,2020,13,9,59,41.59
10,2,2020,13,10,0,40.84
10,2,2020,13,10,1,38.89
10,2,2020,13,10,2,41.31
10,2,2020,13,10,3,42.35
10,2,2020,13,10,4,38.89
10,2,2020,13,10,5,38.89
10,2,2020,13,10,6,40.23
10,2,2020,13,10,7,40.35
10,2,2020,13,10,8,41.43
10,2,2020,13,10,9,41.59
10,2,2020,13,10,10,42.06
10,2,2020,13,10,11,40.60
10,2,2020,13,10,12,38.89
10,2,2020,13,10,13,40.23
10,2,2020,13,10,14,38.89
10,2,2020,13,10,15,38.89
10,2,2020,13,10,16,40.35
10,2,2020,13,10,17,40.35
10,2,2020,13,10,18,38.89
10,2,2020,13,10,19,40.97
10,2,2020,13,10,20,38.89
10,2,2020,13,10,21,40.84
10,2,2020,13,10,22,40.38
10,2,2020,13,10,23,41.21
10,2,2020,13,10,48,38.89
10,2,2020,13,10,49,42.06
10,2,2020,13,10,50,41.37
10,2,2020,13,10,51,41.15
10,2,2020,13,10,52,38.89
10,2,2020,13,10,53,41.59
10,2,2020,13,10,54,41.34
10,2,2020,13,10,55,40.84
10,2,2020,13,10,56,40.84
10,2,2020,13,10,57,41.59
10,2,2020,13,10,58,41.21
10,2,2020,13,10,59,41.21
10,2,2020,13,11,0,41.46
10,2,2020,13,11,1,40.90
10,2,2020,13,11,2,41.37
10,2,2020,13,11,3,41.53
10,2,2020,13,11,4,38.89
10,2,2020,13,11,5,41.71
10,2,2020,13,11,6,40.10
10,2,2020,13,11,7,39.98
10,2,2020,13,11,8,42.70
10,2,2020,13,11,9,41.59
10,2,2020,13,11,10,40.60
10,2,2020,13,11,11,40.72
10,2,2020,13,11,12,40.72
10,2,2020,13,11,13,38.89
10,2,2020,13,11,14,38.71
10,2,2020,13,11,15,40.84
10,2,2020,13,11,16,41.53
10,2,2020,13,11,17,41.93
10,2,2020,13,11,18,39.83
10,2,2020,13,11,19,38.89
10,2,2020,13,11,20,41.31
10,2,2020,13,11,21,40.35
10,2,2020,13,11,22,40.04
10,2,2020,13,11,23,41.40
10,2,2020,13,11,24,40.60
10,2,2020,13,11,25,39.92
10,2,2020,13,11,26,38.89
10,2,2020,13,11,27,39.86
10,2,2020,13,11,28,40.78
10,2,2020,13,11,29,39.86
10,2,2020,13,11,30,40.84
10,2,2020,13,11,31,42.47
10,2,2020,13,11,32,38.89
10,2,2020,13,11,33,42.22
10,2,2020,13,11,34,39.74
10,2,2020,13,11,35,40.41
10,2,2020,13,11,36,42.35
10,2,2020,13,11,37,41.46
10,2,2020,13,11,38,41.71
10,2,2020,13,11,39,39.98
10,2,2020,13,11,40,40.84
10,2,2020,13,11,41,38.89
10,2,2020,13,11,42,42.19
10,2,2020,13,11,43,41.21
10,2,2020,13,11,44,39.74
10,2,2020,13,11,45,40.72
10,2,2020,13,11,46,40.56
10,2,2020,13,11,47,41.68
