DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMP
12,2,2020,0,0,0,18.58
12,2,2020,0,0,1,20.18
12,2,2020,0,0,2,19.38
12,2,2020,0,0,3,21.21
12,2,2020,0,0,4,21.21
12,2,2020,0,0,5,19.75
12,2,2020,0,0,6,19.60
12,2,2020,0,0,7,20.03
12,2,2020,0,0,8,20.60
12,2,2020,0,0,9,18.73
12,2,2020,0,0,10,21.58
12,2,2020,0,0,11,19.75
12,2,2020,0,0,12,21.51
12,2,2020,0,0,13,19.95
12,2,2020,0,0,14,21.08
12,2,2020,0,0,15,19.60
12,2,2020,0,0,16,18.58
12,2,2020,0,0,17,19.25
12,2,2020,0,0,18,20.38
12,2,2020,0,0,19,21.21
12,2,2020,0,0,20,20.18
12,2,2020,0,0,21,20.43
12,2,2020,0,0,22,19.60
12,2,2020,0,0,23,21.81
12,2,2020,0,0,24,21.58
12,2,2020,0,0,25,22.16
12,2,2020,0,0,26,19.53
12,2,2020,0,0,27,19.95
12,2,2020,0,0,28,19.08
12,2,2020,0,0,29,19.25
12,2,2020,0,0,30,20.95
12,2,2020,0,0,31,19.83
12,2,2020,0,0,32,19.85
12,2,2020,0,0,33,20.78
12,2,2020,0,0,34,20.43
12,2,2020,0,0,35,19.33
12,2,2020,0,0,36,19.48
12,2,2020,0,0,37,20.03
12,2,2020,0,0,38,20.85
12,2,2020,0,0,39,19.13
12,2,2020,0,0,40,19.43
12,2,2020,0,0,41,19.83
12,2,2020,0,0,42,20.43
12,2,2020,0,0,43,21.26
12,2,2020,0,0,44,21.26
12,2,2020,0,0,45,19.73
12,2,2020,0,0,46,20.80
12,2,2020,0,0,47,19.55
12,2,2020,0,0,48,18.80
12,2,2020,0,0,49,19.60
12,2,2020,0,0,50,21.21
12,2,2020,0,0,51,20.00
12,2,2020,0,0,52,20.33
12,2,2020,0,0,53,20.08
12,2,2020,0,0,54,20.30
12,2,2020,0,0,55,21.11
12,2,2020,0,0,56,21.58
12,2,2020,0,0,57,20.78
12,2,2020,0,0,58,20.40
12,2,2020,0,0,59,21.16
12,2,2020,0,1,0,20.78
12,2,2020,0,1,1,18.48
12,2,2020,0,1,2,20.70
12,2,2020,0,1,3,18.80
12,2,2020,0,1,4,19.58
12,2,2020,0,1,5,20.83
12,2,2020,0,1,6,21.23
12,2,2020,0,1,7,21.28
12,2,2020,0,1,8,20.23
12,2,2020,0,1,9,19.18
12,2,2020,0,1,10,22.06
12,2,2020,0,1,11,19.68
12,2,2020,0,1,12,21.81
12,2,2020,0,1,13,20.18
12,2,2020,0,1,14,20.95
12,2,2020,0,1,15,19.23
12,2,2020,0,1,16,19.68
12,2,2020,0,1,17,19.18
12,2,2020,0,1,18,20.10
12,2,2020,0,1,19,21.41
12,2,2020,0,1,20,19.35
12,2,2020,0,1,21,21.46
12,2,2020,0,1,22,19.48
12,2,2020,0,1,23,19.28
12,2,2020,0,1,24,21.11
12,2,2020,0,1,25,21.11
12,2,2020,0,1,26,19.25
12,2,2020,0,1,27,19.53
12,2,2020,0,1,28,21.06
12,2,2020,0,1,29,18.95
12,2,2020,0,1,30,19.90
12,2,2020,0,1,31,19.90
